country,variable,percentile,year,value,age,pop
US,sptincj992,p90p100,1913,0.4231,992,j
US,sptincj992,p90p100,1914,0.4295,992,j
US,sptincj992,p90p100,1915,0.4219,992,j
US,sptincj992,p90p100,1916,0.4439,992,j
US,sptincj992,p90p100,1917,0.449,992,j
US,sptincj992,p90p100,1918,0.4364,992,j
US,sptincj992,p90p100,1919,0.4543,992,j
US,sptincj992,p90p100,1920,0.4344,992,j
US,sptincj992,p90p100,1921,0.4653,992,j
US,sptincj992,p90p100,1922,0.4554,992,j
US,sptincj992,p90p100,1923,0.431,992,j
US,sptincj992,p90p100,1924,0.4526,992,j
US,sptincj992,p90p100,1925,0.4708,992,j
US,sptincj992,p90p100,1926,0.4744,992,j
US,sptincj992,p90p100,1927,0.4676,992,j
US,sptincj992,p90p100,1928,0.4796,992,j
US,sptincj992,p90p100,1929,0.4668,992,j
US,sptincj992,p90p100,1930,0.4534,992,j
US,sptincj992,p90p100,1931,0.45,992,j
US,sptincj992,p90p100,1932,0.4665,992,j
US,sptincj992,p90p100,1933,0.4687,992,j
US,sptincj992,p90p100,1934,0.4803,992,j
US,sptincj992,p90p100,1935,0.4706,992,j
US,sptincj992,p90p100,1936,0.4774,992,j
US,sptincj992,p90p100,1937,0.4652,992,j
US,sptincj992,p90p100,1938,0.4646,992,j
US,sptincj992,p90p100,1939,0.4787,992,j
US,sptincj992,p90p100,1940,0.4773,992,j
US,sptincj992,p90p100,1941,0.4579,992,j
US,sptincj992,p90p100,1942,0.4107,992,j
US,sptincj992,p90p100,1943,0.3806,992,j
US,sptincj992,p90p100,1944,0.362,992,j
US,sptincj992,p90p100,1945,0.3582,992,j
US,sptincj992,p90p100,1946,0.3721,992,j
US,sptincj992,p90p100,1947,0.3708,992,j
US,sptincj992,p90p100,1948,0.3891,992,j
US,sptincj992,p90p100,1949,0.3836,992,j
US,sptincj992,p90p100,1950,0.3899,992,j
US,sptincj992,p90p100,1951,0.3771,992,j
US,sptincj992,p90p100,1952,0.3651,992,j
US,sptincj992,p90p100,1953,0.3549,992,j
US,sptincj992,p90p100,1954,0.359,992,j
US,sptincj992,p90p100,1955,0.3654,992,j
US,sptincj992,p90p100,1956,0.3576,992,j
US,sptincj992,p90p100,1957,0.3576,992,j
US,sptincj992,p90p100,1958,0.357,992,j
US,sptincj992,p90p100,1959,0.3616,992,j
US,sptincj992,p90p100,1960,0.3563,992,j
US,sptincj992,p90p100,1961,0.3583,992,j
US,sptincj992,p90p100,1962,0.3609,992,j
US,sptincj992,p90p100,1964,0.3698,992,j
US,sptincj992,p90p100,1966,0.3629,992,j
US,sptincj992,p90p100,1967,0.3529,992,j
US,sptincj992,p90p100,1968,0.3551,992,j
US,sptincj992,p90p100,1969,0.3413,992,j
US,sptincj992,p90p100,1970,0.3384,992,j
US,sptincj992,p90p100,1971,0.3436,992,j
US,sptincj992,p90p100,1972,0.3465,992,j
US,sptincj992,p90p100,1973,0.3497,992,j
US,sptincj992,p90p100,1974,0.3405,992,j
US,sptincj992,p90p100,1975,0.3441,992,j
US,sptincj992,p90p100,1976,0.3428,992,j
US,sptincj992,p90p100,1977,0.3476,992,j
US,sptincj992,p90p100,1978,0.3465,992,j
US,sptincj992,p90p100,1979,0.3489,992,j
US,sptincj992,p90p100,1980,0.3424,992,j
US,sptincj992,p90p100,1981,0.3472,992,j
US,sptincj992,p90p100,1982,0.349,992,j
US,sptincj992,p90p100,1983,0.3542,992,j
US,sptincj992,p90p100,1984,0.3666,992,j
US,sptincj992,p90p100,1985,0.3666,992,j
US,sptincj992,p90p100,1986,0.3647,992,j
US,sptincj992,p90p100,1987,0.3761,992,j
US,sptincj992,p90p100,1988,0.3895,992,j
US,sptincj992,p90p100,1989,0.3867,992,j
US,sptincj992,p90p100,1990,0.3871,992,j
US,sptincj992,p90p100,1991,0.3856,992,j
US,sptincj992,p90p100,1992,0.3978,992,j
US,sptincj992,p90p100,1993,0.3956,992,j
US,sptincj992,p90p100,1994,0.3986,992,j
US,sptincj992,p90p100,1995,0.4066,992,j
US,sptincj992,p90p100,1996,0.4155,992,j
US,sptincj992,p90p100,1997,0.4227,992,j
US,sptincj992,p90p100,1998,0.4263,992,j
US,sptincj992,p90p100,1999,0.4335,992,j
US,sptincj992,p90p100,2000,0.4388,992,j
US,sptincj992,p90p100,2001,0.428,992,j
US,sptincj992,p90p100,2002,0.4273,992,j
US,sptincj992,p90p100,2003,0.4287,992,j
US,sptincj992,p90p100,2004,0.439,992,j
US,sptincj992,p90p100,2005,0.4506,992,j
US,sptincj992,p90p100,2006,0.4603,992,j
US,sptincj992,p90p100,2007,0.458,992,j
US,sptincj992,p90p100,2008,0.4531,992,j
US,sptincj992,p90p100,2009,0.4434,992,j
US,sptincj992,p90p100,2010,0.4575,992,j
US,sptincj992,p90p100,2011,0.4592,992,j
US,sptincj992,p90p100,2012,0.4714,992,j
US,sptincj992,p90p100,2013,0.4632,992,j
US,sptincj992,p90p100,2014,0.4702,992,j
